Date,532921.BO,500820.BO,532215.BO,500034.BO,532978.BO,500049.BO,532454.BO,543320.BO,532281.BO,500180.BO,500696.BO,532174.BO,500209.BO,500875.BO,500247.BO,500510.BO,500520.BO,532500.BO,532555.BO,532898.BO,500325.BO,500112.BO,524715.BO,532540.BO,500570.BO,500470.BO,532755.BO,500114.BO,500251.BO,532538.BO
2015-11-30,252.98536682128906,,,53.302860260009766,192.53395080566406,,,,,,676.0359497070312,,405.4698791503906,,,783.6959838867188,613.098876953125,,,,209.74142456054688,226.05502319335938,,,,7.927632808685303,,,,2694.2294921875
2015-12-01,248.69345092773438,,,54.13526916503906,197.5037078857422,,,,,,695.9132690429688,,401.0740966796875,,,778.5628051757812,614.197509765625,,,,209.21054077148438,225.01707458496094,,,,8.189533233642578,,,,2747.74072265625
2015-12-02,247.1842041015625,,,53.9053840637207,202.72694396972656,,,,,,692.6559448242188,,394.946044921875,,,772.37451171875,613.771484375,,,,211.60484313964844,220.91024780273438,,,,8.391127586364746,,,,2731.614990234375
2015-12-03,244.6374053955078,,,53.63098907470703,201.72303771972656,,,,,,682.5088500976562,,393.381591796875,,,768.923828125,604.7807006835938,,,,211.64816284179688,217.66090393066406,,,,8.275683403015137,,,,2740.157958984375
2015-12-04,240.95863342285156,,,52.7835693359375,199.69537353515625,,,,,,680.9635009765625,,390.32696533203125,,,764.8173828125,590.1176147460938,,,,209.25393676757812,217.4803924560547,,,,8.277406692504883,,,,2747.452392578125
2015-12-07,240.817138671875,,,53.00764846801758,191.52008056640625,,,,,,694.6605224609375,,389.60052490234375,,,764.7603149414062,594.0858764648438,,,,206.64300537109375,215.85569763183594,,,,8.392850875854492,,,,2748.6044921875
2015-12-08,236.99688720703125,,,53.407386779785156,189.6514434814453,,,,,,689.5239868164062,,389.2651672363281,,,753.9805908203125,591.7542724609375,,,,204.20541381835938,212.9222869873047,,,,8.08959674835205,,,,2735.40673828125
2015-12-09,230.06385803222656,,,53.16057586669922,185.89927673339844,,,,,,685.01416015625,,383.45391845703125,,,741.7750244140625,588.6826171875,,,,198.46348571777344,211.5232696533203,,,,7.817359447479248,,,,2673.592529296875
2015-12-10,232.79931640625,,,53.5608024597168,190.64041137695312,,,,,,681.5479736328125,,389.8052978515625,,,747.4500122070312,578.9295654296875,,,,205.81959533691406,209.35702514648438,,,,8.027569770812988,,,,2700.80419921875
2015-12-11,227.42271423339844,,,53.44078063964844,189.05010986328125,,,,,,685.6405029296875,,392.02178955078125,,,732.563720703125,566.0375366210938,,,,206.3288116455078,204.9794464111328,,,,8.301528930664062,,,,2665.9140625
2015-12-14,240.15687561035156,,,52.63935089111328,189.70115661621094,,,,,,699.212158203125,,398.4105529785156,,,726.8887939453125,577.1134643554688,,,,207.0221710205078,204.43789672851562,,,,8.444540023803711,,,,2725.52001953125
2015-12-15,237.46852111816406,,,54.20011901855469,188.458740234375,,,,,,715.1641235351562,,401.1672058105469,,,731.7652587890625,578.0326538085938,,,,211.45318603515625,204.07687377929688,,,,8.415249824523926,,,,2743.133056640625
2015-12-16,237.3270263671875,,,54.215599060058594,191.84310913085938,,,,,,713.0343627929688,,408.05877685546875,,,730.7385864257812,546.5762329101562,,,,211.90821838378906,205.15997314453125,,,,8.439371109008789,,,,2734.15869140625
2015-12-17,241.5245819091797,,,55.39646530151367,193.9751739501953,,,,,,721.6785278320312,,412.3614196777344,,,739.6646118164062,559.1319580078125,,,,218.4842529296875,208.49957275390625,,,,8.840835571289062,,,,2773.080322265625
2015-12-18,245.486328125,,,56.17951583862305,191.4902801513672,,,,,,717.5026245117188,,404.5384826660156,,,734.6740112304688,557.9660034179688,,,,214.9524688720703,204.57327270507812,,,,8.799483299255371,,,,2710.978271484375
2015-12-21,245.9579620361328,,,56.780113220214844,192.89173889160156,,,,,,711.6564331054688,,410.51751708984375,,,735.70068359375,572.6966552734375,,,,214.9958038330078,207.91287231445312,,,,8.909756660461426,,,,2696.484619140625
2015-12-22,243.08102416992188,,,57.102909088134766,192.29042053222656,,,,,,711.1553955078125,,403.6631164550781,,,730.05419921875,564.3334350585938,,,,213.96661376953125,206.06256103515625,,,,8.863235473632812,,,,2685.39892578125
2015-12-23,242.5622100830078,,,57.27084732055664,192.37486267089844,,,,,,719.3818359375,,409.0274963378906,,,737.4402465820312,561.7999267578125,,,,217.44422912597656,207.50669860839844,,,,9.087227821350098,,,,2704.931640625
2015-12-24,243.83560180664062,,,56.89674377441406,191.167236328125,,,,,,720.9685668945312,,408.2264709472656,,,738.3242797851562,563.9747314453125,,,,216.8700714111328,206.3784637451172,,,,9.080336570739746,,,,2706.994873046875
2015-12-28,246.6654052734375,,,57.25874328613281,190.2726593017578,,,,,,723.1819458007812,,410.3870849609375,,,738.0677490234375,559.087158203125,,,,218.52760314941406,206.5590057373047,,,,8.754684448242188,,,,2697.73291015625
2015-12-29,248.50482177734375,,,58.0325927734375,191.19705200195312,,,,,,716.7927856445312,,411.16949462890625,,,735.3584594726562,567.2482299804688,,,,219.95767211914062,206.24310302734375,,,,8.79259204864502,,,,2706.083740234375
2015-12-30,246.71258544921875,,,57.90289306640625,193.51300048828125,,,,,,717.7948608398438,,404.5757751464844,,,732.5067138671875,566.0375366210938,,,,217.72593688964844,203.8060760498047,,,,8.89597225189209,,,,2675.65625
2015-12-31,245.81651306152344,,,58.20294952392578,197.47885131835938,,,,,,720.2169189453125,,411.4674072265625,,,727.5731811523438,570.1853637695312,,,,219.40518188476562,202.54241943359375,,,,8.944217681884766,,,,2673.112548828125
